CaseNbr	Category	latitude	longitude	time
1202703	WARRANT	34.033417	-118.279997	735095.482639
1202735	VANDALISM	34.028379	-118.288222	735097.750000
1202796	WARRANT	34.020391	-118.280907	735104.029167
1202817	WARRANT	34.018303	-118.283409	735105.340278
1202866	VANDALISM	34.026244	-118.284165	735105.729167
1202868	VANDALISM	34.021461	-118.288965	735106.343750
1202901	WARRANT	34.025646	-118.296234	735109.752083
1202950	VANDALISM	34.028954	-118.278704	735112.044444
1202962	WARRANT	34.020137	-118.295435	735112.604167
1203040	VANDALISM	34.025511	-118.295330	735114.666667
1203092	WARRANT	0.000000	-0.000000	735118.065972
1203130	VANDALISM	34.027030	-118.279350	735117.458333
1203150	WARRANT	34.025050	-118.278590	735120.590278
1203164	WARRANT	34.026277	-118.280794	735121.138889
1203177	VANDALISM	34.021475	-118.282179	735120.645833
1203215	WARRANT	34.024789	-118.289427	735124.048611
1203263	WARRANT	34.018303	-118.283409	735125.822917
1203264	VANDALISM	34.061416	-118.204854	735126.237500
1203282	VANDALISM	34.025646	-118.296234	735127.775694
1203332	WARRANT	34.027390	-118.280440	735130.031250
1203445	WARRANT	34.026564	-118.277042	735135.736111
1302353	TRAFFIC	34.020156	-118.287206	735397.822917
1302357	THEFT-MOTOR VEHICLE	34.020289	-118.290330	735398.260417
1302372	THEFT-MOTOR VEHICLE	34.027490	-118.286680	735398.541667
1302383	THEFT-MOTOR VEHICLE	34.027432	-118.287786	735400.531250
1302386	THEFT-MOTOR VEHICLE	34.025060	-118.286461	735400.673611
1302393	THEFT-MOTOR VEHICLE	34.062052	-118.201433	735401.291667
1302397	THEFT-MOTOR VEHICLE	34.029430	-118.282940	735402.437500
1302493	ROBBERY	34.018468	-118.313954	735410.419444
1302508	ALARM RESPONSE	34.062052	-118.201433	735411.020833
1302520	THEFT-MOTOR VEHICLE	34.020137	-118.296874	735411.770833
1302534	THEFT-PETTY	34.020598	-118.286592	735413.340278
1302575	ROBBERY	34.021111	-118.284830	735416.890972
1302661	ALARM RESPONSE	34.062052	-118.201433	735424.875000
1302671	THEFT-MOTOR VEHICLE	34.018303	-118.283409	735423.937500
1302719	THEFT-PETTY	34.024521	-118.283973	735430.437500
1302738	THEFT-MOTOR VEHICLE	34.026672	-118.284165	735432.486111
1302755	ALARM RESPONSE	34.062052	-118.201433	735433.604167
1302757	ROBBERY	34.018303	-118.283409	735433.500000
1302773	THEFT-MOTOR VEHICLE	34.060845	-118.206386	735432.375000
1302791	THEFT-MOTOR VEHICLE	34.026570	-118.281400	735434.895833
1302820	ALARM RESPONSE	34.020133	-118.288242	735437.872222
1302841	THEFT-MOTOR VEHICLE	34.024333	-118.283966	735440.468750
1302861	THEFT-PETTY	34.026672	-118.284165	735442.611111
1302872	THEFT-MOTOR VEHICLE	34.019247	-118.276105	735444.458333
1302975	THEFT-PETTY	34.026672	-118.284165	735453.597222
1302976	ALARM RESPONSE	34.062052	-118.201433	735453.900694
1302997	THEFT-MOTOR VEHICLE	34.026965	-118.296065	735455.666667
1303019	THEFT-MOTOR VEHICLE	34.060845	-118.206386	735453.562500
1303032	THEFT-MOTOR VEHICLE	34.063858	-118.206234	735459.291667
1303135	THEFT-MOTOR VEHICLE	34.022083	-118.281584	735468.458333
1303191	THEFT-MOTOR VEHICLE	0.000000	-0.000000	735470.791667
1303209	THEFT-MOTOR VEHICLE	34.025074	-118.286487	735472.645833
1303235	EH&S	34.020230	-118.290650	735473.688889
1303264	ALARM RESPONSE	34.062052	-118.201433	735475.606250
1303267	THEFT-MOTOR VEHICLE	34.064830	-118.194347	735475.354167
